,0,1
0,10651,SEGBANA
1,10604,SOKOTINDJI
2,20151,BOUKOUMBE
3,20101,DIPOLI
4,20102,KORONTIERE
5,20103,KOUSSOUCOINGOU
6,10151,BANIKOARA
7,10101,FOUNOUGO
8,10102,GOMPAROU
9,10103,GOUMORI
10,10104,KOKEY
11,10105,KOKIBOROU
12,10108,SOROKO
13,10109,TOURA
14,10201,BAGOU
15,10251,GOGOUNOU
16,10202,GOUNAROU
17,10203,SORI
18,10205,WARA
19,10302,BENSEKOU
20,10303,DONWARI
21,10351,KANDI 1
22,10352,KANDI 2
23,10353,KANDI 3
24,10304,KASSAKOU
25,10305,SAAH
26,10306,SAM
27,10403,KOMPA
28,10404,MONSEY
29,10501,GAROU
30,10502,GUENE
31,10503,MADECALI
32,10551,MALANVILLE
33,10504,TOUMBOUTOU
34,10603,LOUGOU
35,30204,AVAKPA
36,30205,AYOU
37,30206,HINVI
38,30207,LISSEGAZOUN
39,30208,LON-AGONMEY
40,30209,SEKOU
41,30252,TOGOUDO
42,30210,TOKPA
43,30302,AGBANTO
44,20105,NATA
45,20106,TABOTA
46,20251,COBLY
47,20201,DATORI
48,20202,KOUNTORI
49,20203,TAPOGA
50,20301,BRIGNAMARO
51,20302,FIROU
52,20401,BIRNI
53,20402,CHABI-COUMA
54,20403,FOO-TANCE
55,20404,GUILMARO
56,20451,KOUANDE
57,20405,OROUKAYO
58,20551,MATERI
59,20503,NODI
60,20504,TANTEGA
61,20505,TCHANHOUNCOSSI
62,20601,KOTOPOUNGA
63,20651,NATITINGOU I
64,20653,NATITINGOU III
65,20654,PEPORIYAKOU
66,20604,PERMA
67,20605,TCHOUMI-TCHOUMI
68,20701,GNEMASSON
69,20751,PEHUNCO
70,20702,TOBRE
71,20803,TAIACOU
72,20851,TANGUIETA
73,20804,TANONGOU
74,20901,KOUARFA
75,20902,TAMPEGRE
76,20951,TOUKOUNTOUNA
77,30101,AKASSATO
78,30102,GODOMEY
79,30104,HEVIE
80,30105,KPANROUN
81,30106,OUEDO
82,30107,TOGBA
83,30108,ZINVIE
84,30201,AGBANOU
85,30202,AHOUANNONZOUN
86,30304,DEDOME
87,30305,DEKANME
88,30351,KPOMASSE CENTRE
89,30306,SEGBEYA
90,30307,SEGBOHOUE
91,30308,TOKPA-DOME
92,30401,AVLEKETE
93,30402,DJEGBADJI
94,30403,GAKPE
95,30452,OUIDAH II
96,30453,OUIDAH III
97,30454,OUIDAH IV
98,30405,PAHOU
99,30406,SAVI
100,30501,AHOMEY-LOKPO
101,30502,DEKANMEY
102,30503,GANVIE 1
