,CDP,DP,CCM,CM,CAR,AR,VQ,CVQ
0,1,ALIBORI,106,SEGBANA,10603,LOUGOU,LOUGOU,01.6.03.07
1,1,ALIBORI,106,SEGBANA,10603,LOUGOU,NIAMBARA,01.6.03.08
2,1,ALIBORI,106,SEGBANA,10603,LOUGOU,SINWAN,01.6.03.09
3,1,ALIBORI,106,SEGBANA,10603,LOUGOU,ZONZI,01.6.03.10
4,1,ALIBORI,106,SEGBANA,10651,SEGBANA,BATAZI,01.6.51.01
5,1,ALIBORI,106,SEGBANA,10651,SEGBANA,FONDO,01.6.51.02
6,1,ALIBORI,106,SEGBANA,10651,SEGBANA,GBESSARE,01.6.51.03
7,1,ALIBORI,106,SEGBANA,10651,SEGBANA,GUENE KOUZI,01.6.51.04
8,1,ALIBORI,106,SEGBANA,10651,SEGBANA,KOROWI,01.6.51.05
9,1,ALIBORI,106,SEGBANA,10651,SEGBANA,KPASSANA,01.6.51.06
10,1,ALIBORI,106,SEGBANA,10651,SEGBANA,LIMAFRANI,01.6.51.07
11,1,ALIBORI,106,SEGBANA,10651,SEGBANA,MAFOUTA-WAASSARE,01.6.51.08
12,1,ALIBORI,106,SEGBANA,10651,SEGBANA,PIAMI,01.6.51.09
13,1,ALIBORI,106,SEGBANA,10651,SEGBANA,SAMTIMBARA,01.6.51.10
14,1,ALIBORI,106,SEGBANA,10604,SOKOTINDJI,BEDAFOU,01.6.04.01
15,1,ALIBORI,106,SEGBANA,10604,SOKOTINDJI,GBARANA,01.6.04.02
16,1,ALIBORI,106,SEGBANA,10604,SOKOTINDJI,MOROU,01.6.04.03
17,1,ALIBORI,106,SEGBANA,10604,SOKOTINDJI,POELA,01.6.04.04
18,1,ALIBORI,106,SEGBANA,10604,SOKOTINDJI,SEREBANI,01.6.04.05
19,1,ALIBORI,106,SEGBANA,10604,SOKOTINDJI,SEREKIBE,01.6.04.06
20,1,ALIBORI,106,SEGBANA,10604,SOKOTINDJI,SOKOTINDJI,01.6.04.07
21,1,ALIBORI,106,SEGBANA,10604,SOKOTINDJI,TCHAKAMA,01.6.04.08
22,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,DITCHENDIA,02.1.51.01
23,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,IKOUNGA,02.1.51.02
24,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,KOTOTOUGOU,02.1.51.03
25,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,KOUDAHONGOU,02.1.51.04
26,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,KOUKOUANGOU-BOUKOUMBE,02.1.51.05
27,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,KOUKOUATCHIENGOU,02.1.51.06
28,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,KOUMAAGOU,02.1.51.07
29,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,KOUMATIE,02.1.51.08
30,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,KOUMONTCHIRGOU,02.1.51.09
31,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,KOUNADOGOU,02.1.51.10
32,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,KOUNTCHOUGOU,02.1.51.11
33,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,KOUPAGOU,02.1.51.12
34,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,KOUSSAYAGOU,02.1.51.13
35,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,KOUSSETIEGOU,02.1.51.14
36,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,KOUSSOCOINGOU,02.1.51.15
37,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,KOUTAGOU,02.1.51.16
38,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,KOUTATIEGOU,02.1.51.17
39,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,KOUTCHATA,02.1.51.18
40,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,KOUTCHATAHONGOU,02.1.51.19
41,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,TATOUTA,02.1.51.20
42,2,ATACORA,201,BOUKOUMBE,20151,BOUKOUMBE,ZONGO,02.1.51.21
43,2,ATACORA,201,BOUKOUMBE,20101,DIPOLI,DIKOUMINI,02.1.01.01
44,2,ATACORA,201,BOUKOUMBE,20101,DIPOLI,DIMANSOURI,02.1.01.02
45,2,ATACORA,201,BOUKOUMBE,20101,DIPOLI,DIPOLI,02.1.01.03
46,2,ATACORA,201,BOUKOUMBE,20101,DIPOLI,DISSAPOLI,02.1.01.04
47,2,ATACORA,201,BOUKOUMBE,20101,DIPOLI,KPERINKPE,02.1.01.05
48,2,ATACORA,201,BOUKOUMBE,20101,DIPOLI,MANTCHARI,02.1.01.06
49,2,ATACORA,201,BOUKOUMBE,20101,DIPOLI,NATCHENTE,02.1.01.07
50,2,ATACORA,201,BOUKOUMBE,20101,DIPOLI,OTANONGOU,02.1.01.08
51,2,ATACORA,201,BOUKOUMBE,20101,DIPOLI,OUKOUNSERIHOUN,02.1.01.09
52,2,ATACORA,201,BOUKOUMBE,20102,KORONTIERE,AGBONTE,02.1.02.01
53,2,ATACORA,201,BOUKOUMBE,20102,KORONTIERE,KEYORDAKE,02.1.02.02
54,2,ATACORA,201,BOUKOUMBE,20102,KORONTIERE,KOUCONGOU,02.1.02.03
55,2,ATACORA,201,BOUKOUMBE,20102,KORONTIERE,KOUPAGOU-KORONTIERE,02.1.02.04
56,2,ATACORA,201,BOUKOUMBE,20102,KORONTIERE,KOUTCHATIE,02.1.02.05
57,2,ATACORA,201,BOUKOUMBE,20102,KORONTIERE,KOUYA,02.1.02.06
58,2,ATACORA,201,BOUKOUMBE,20102,KORONTIERE,NATIENI,02.1.02.07
59,2,ATACORA,201,BOUKOUMBE,20102,KORONTIERE,OKOUARO,02.1.02.08
60,2,ATACORA,201,BOUKOUMBE,20102,KORONTIERE,TADOWONTA,02.1.02.09
61,2,ATACORA,201,BOUKOUMBE,20102,KORONTIERE,TASSAYOTA,02.1.02.10
