,0,1
0,01.6.03.07,LOUGOU
1,01.6.03.08,NIAMBARA
2,01.6.03.09,SINWAN
3,01.6.03.10,ZONZI
4,01.6.51.01,BATAZI
5,01.6.51.02,FONDO
6,01.6.51.03,GBESSARE
7,01.6.51.04,GUENE KOUZI
8,01.6.51.05,KOROWI
9,01.6.51.06,KPASSANA
10,01.6.51.07,LIMAFRANI
11,01.6.51.08,MAFOUTA-WAASSARE
12,01.6.51.09,PIAMI
13,01.6.51.10,SAMTIMBARA
14,01.6.04.01,BEDAFOU
15,01.6.04.02,GBARANA
16,01.6.04.03,MOROU
17,01.6.04.04,POELA
18,01.6.04.05,SEREBANI
19,01.6.04.06,SEREKIBE
20,01.6.04.07,SOKOTINDJI
21,01.6.04.08,TCHAKAMA
22,02.1.51.01,DITCHENDIA
23,02.1.51.02,IKOUNGA
24,02.1.51.03,KOTOTOUGOU
25,02.1.51.04,KOUDAHONGOU
26,02.1.51.05,KOUKOUANGOU-BOUKOUMBE
27,02.1.51.06,KOUKOUATCHIENGOU
28,02.1.51.07,KOUMAAGOU
29,02.1.51.08,KOUMATIE
30,02.1.51.09,KOUMONTCHIRGOU
31,02.1.51.10,KOUNADOGOU
32,02.1.51.11,KOUNTCHOUGOU
33,02.1.51.12,KOUPAGOU
34,02.1.51.13,KOUSSAYAGOU
35,02.1.51.14,KOUSSETIEGOU
36,02.1.51.15,KOUSSOCOINGOU
37,02.1.51.16,KOUTAGOU
38,02.1.51.17,KOUTATIEGOU
39,02.1.51.18,KOUTCHATA
40,02.1.51.19,KOUTCHATAHONGOU
41,02.1.51.20,TATOUTA
42,02.1.51.21,ZONGO
43,02.1.01.01,DIKOUMINI
44,02.1.01.02,DIMANSOURI
45,02.1.01.03,DIPOLI
46,02.1.01.04,DISSAPOLI
47,02.1.01.05,KPERINKPE
48,02.1.01.06,MANTCHARI
49,02.1.01.07,NATCHENTE
50,02.1.01.08,OTANONGOU
51,02.1.01.09,OUKOUNSERIHOUN
52,02.1.02.01,AGBONTE
53,02.1.02.02,KEYORDAKE
54,02.1.02.03,KOUCONGOU
55,02.1.02.04,KOUPAGOU-KORONTIERE
56,02.1.02.05,KOUTCHATIE
57,02.1.02.06,KOUYA
58,02.1.02.07,NATIENI
59,02.1.02.08,OKOUARO
60,02.1.02.09,TADOWONTA
61,02.1.02.10,TASSAYOTA
62,02.1.03.01,DIDOMPE
63,02.1.03.02,KOUGNANGOU
64,02.1.03.03,KOUKOUANKPANGOU
65,02.1.03.04,KOUSSOUCOINGOU
66,02.1.03.05,KOUSSOUNONGOU
67,02.1.03.06,KOUTAYAGOU
68,02.1.03.07,KOUWATAKOUANGOU
69,02.1.03.08,TAKPANTA
70,02.1.03.09,TCHAPETA
71,02.1.03.10,TIPAOTI
72,02.1.04.01,DIKON HEIN
73,02.1.04.02,DIKOUTENI
74,02.1.04.03,DIMATADONIE
75,02.1.04.04,DIMATIMA
76,02.1.04.05,DIPOKOR
77,02.1.04.06,DIPOKOR-TCHAABA
78,02.1.04.08,KOUKOUAKAMANGOU
79,02.1.04.09,KOUKOUANGOU
80,02.1.04.10,KOUNADOGOU
81,02.1.04.11,KOUNATCHATIEGOU
82,02.1.04.12,KOUTANGOU
83,02.1.04.13,KOUTCHANTIE
84,02.1.04.15,TATCHADIETA
85,02.1.05.01,DIPOKORFONTRI
86,02.1.05.02,KOUDOGOU
87,02.1.05.03,KOUKOUA
88,02.1.05.04,KOUKPINTIEGOU
89,02.1.05.05,KOUNAGNIGOU
90,01.1.51.01,ARBONGA
91,01.1.51.02,AVIATION
92,01.1.51.03,BATRAN
93,01.1.51.04,DEMANOU
94,01.1.51.05,DEROU GAROU
95,01.1.51.06,GLEGBABI
96,01.1.51.07,GUIGUIRI
97,01.1.51.08,KINGAROU
98,01.1.51.09,KOKIRE
99,01.1.51.10,KOMMON
100,01.1.51.11,KORI GUIGUIRI
101,01.1.51.12,KPAGAGUEDOU
102,01.1.51.13,OROU GNONROU
103,01.1.51.14,SAMANGA
104,01.1.51.15,TOKEY-BANTA
105,01.1.51.16,WAGOU
106,01.1.51.17,WETEROU
107,01.1.51.18,YADIKPAROU
108,01.1.01.01,BOFOUNOU
109,01.1.01.02,FOUNOUGO-BOUTERA
110,01.1.01.03,FOUNOUGO-GAH
111,01.1.01.04,FOUNOUGO-GOROBANI
112,01.1.01.05,GAMA
113,01.1.01.06,GAMERE-ZONGO
